quarter|time|home action|score|diff|away action
Q1|10:00|Starters: 4 RATHAN-MAYES X., 8 KRATZER L., 11 LUCIC V., 16 JOVIC S., 22 MIKE I.|-|-|Starters: 1 OSOBOR G., 8 CHRISTEN R., 13 BRAXTON JR K., 33 WASHINGTON E., 36 KRAUSE K.
Q1|10:00|8 KRATZER L. Jump ball won|||1 OSOBOR G. Jump ball lost
Q1|9:48|4 RATHAN-MAYES X. 2PtsFG outside paint, Jump shot made|2-0|+2|
Q1|9:33|22 MIKE I. Defensive rebound|||8 CHRISTEN R. 3Pts FG missed
Q1|9:17|8 KRATZER L. 2Pts FG inside paint, Lay-up missed|||
Q1|9:16||||Defensive Team rebound
Q1|8:54||||33 WASHINGTON E. Turnover, Out of bounds
Q1|8:38|11 LUCIC V. 3PtsFG missed|||
Q1|8:36||||Defensive Team rebound.
Q1|8:25|4 RATHAN-MAYES X. Defensive rebound|||1 OSOBOR G. 2PtsFG inside paint, Jump shot missed
Q1|8:15|22 MIKE I. 3PtsFG missed, 4 RATHAN-MAYES X. Offensive rebound|||
Q1|8:10|11 LUCIC V. Foul drawn.|||8 CHRISTEN R. Personal foul, 2 free throws awarded (P1,T1)
Q1|8:10|11 LUCIC V. Free Throw made 1 of 2, 4 RATHAN-MAYES X. Assist|3-0|+3|
Q1|8:10|11 LUCIC V. Free Throw made 2 of 2|4-0|+4|
Q1|7:51||||33 WASHINGTON E. 3Pts FG missed, 33 WASHINGTON E. Offensive rebound
Q1|7:42|4 RATHAN-MAYES X. 3Pts FG missed, 11 LUCIC V. Offensive rebound|||33 WASHINGTON E. 2PtsFG fast break, Lay-up made
Q1|7:29|11 LUCIC V. 2PtsFG outside paint, Jump shot missed|4-2|+2|1 OSOBOR G. Defensive rebound
Q1|7:07|8 KRATZER L. 2Pts FG inside paint, Lay-up missed|||OSOBOR G. 2PtsFG inside paint, Lay-up made, 13 BRAXTON JR K. Assist
Q1|6:52|8 KRATZER L. Defensive rebound|4-4|0|33 WASHINGTON E. Defensive rebound
Q1|6:43||||33 WASHINGTON E. 3PtsFG missed
Q1|6:33|11 LUCIC V. 3PFG made, 4 RATHAN-MAYES X. Assist|7-4|+3|
Q1|6:06||||33 WASHINGTON E. 2PtsFG outside paint, Jump shot made
Q1|5:48|8 KRATZER L. Foul drawn.|7-6|+1|8 CHRISTEN R. Personal foul (P2,T2)
Q1|5:48|8 KRATZER L. Substitute out, 1 DA SILVA O. Substitute in|||
Q1|5:48|16 JOVIC S. Substitute out, 44 BALDWIN K. Substitute in|||
Q1|5:48||||1 OSOBOR G. Substitute out, 5 CARTER C. Substitute in
Q1|5:48||||8 CHRISTEN R. Substitute out, 15 BOHANNON N. Substitute in
Q1|5:48||||13 BRAXTON JR K. Substitute out, 25 BANK L. Substitute in
Q1|5:45|4 RATHAN-MAYES X. 2Pts FG inside paint, Lay-up made, 44 BALDWIN K. Assist|9-6|+3|
Q1|5:38|1 DA SILVA O. Defensive rebound.|||5 CARTER C. 3PtsFG missed
Q1|5:27|4 RATHAN-MAYES X. Turnover, Ball handling|||5 CARTER C. Steal
Q1|5:23||9-8|+1|5 CARTER C. 2PtsFG fast break, Lay-up made
Q1|5:18|1 DA SILVA O. Turnover, Bad pass|||36 KRAUSE K. Steal
Q1|5:15|44 BALDWIN K. Defensive rebound|||36 KRAUSE K. 2PtsFG fast break, Jump shot missed
Q1|5:04|11 LUCIC V. Foul drawn.|||5 CARTER C. Personal foul (P1,T3)
Q1|5:04|4 RATHAN-MAYES X. Substitute out, 5 GIFFEY N. Substitute in|||
Q1|5:04|22 MIKE I. Substitute out, 10 JESSUP J. Substitute in|||36 KRAUSE K. Substitute out, 0 DUNN-MARTIN T. Substitute in
Q1|4:58|10 JESSUP J. 2PtsFG inside paint, Lay-up missed, 1 DA SILVA O. Offensive rebound|||
Q1|4:48|44 BALDWIN K. 2Pts FG outside paint, Jump shot missed|||
Q1|4:44||||Defensive Team rebound
Q1|4:37|1 DA SILVA O. Personal foul (P1,T1)|||33 WASHINGTON E. Foul drawn
Q1|4:33||9-11|-2|0 DUNN-MARTIN T. 3Pts FG made
Q1|4:13|11 LUCIC V. 2PtsFG inside paint, Lay-up made|11-11|0|
Q1|3:57||11-13|-2|15 BOHANNON N. 2PtsFG outside paint, Jump shot made
Q1|3:35|5 GIFFEY N. 2Pts FG outside paint, Jump shot missed|||25 BANK L. Defensive rebound
Q1|3:25||11-16|-5|0 DUNN-MARTIN T. 3Pts FG made, 33 WASHINGTON E. Assist
Q1|3:06|11 LUCIC V. 2PtsFG inside paint, Lay-up made, 1 DA SILVA O. Assist|13-16|-3|
Q1|2:40|44 BALDWIN K. Defensive rebound|||15 BOHANNON N. 2PtsFG inside paint, Jumpshot missed
Q1|2:28|5 GIFFEY N. 3Pts FG made, 10 JESSUP J. Assist|16-16|0|
Q1|2:16||16-18|-2|33 WASHINGTON E. 2Pts FG outside paint, Jump shot made
Q1|1:52|44 BALDWIN K. 2PtsFG inside paint, Lay-up made|18-18|0|
Q1|1:52|44 BALDWIN K. Foul drawn|||15 BOHANNON N. Personal foul, 1 free throw awarded (P1,T4)
Q1|1:52|11 LUCIC V. Substitute out, 30 SERMPEZIS N. Substitute in|||
Q1|1:52||||15 BOHANNON N. Substitute out, 1 OSOBOR G. Substitute in
Q1|1:52||||33 WASHINGTON E. Substitute out, 13 BRAXTON JR K. Substitute in
Q1|1:52|44 BALDWIN K. Free Throw made 1 of 1|19-18|+1|
Q1|1:36||||1 OSOBOR G. 3PtsFG missed, 13 BRAXTON JR K. Offensive rebound
Q1|1:31||19-20|-1|13 BRAXTON JR K. 2Pts FG inside paint, Lay-up made
Q1|1:25|10 JESSUP J. 2PtsFG inside paint, Lay-up made|21-20|+1|
Q1|1:12||21-23|-2|25 BANK L. 3PtsFG made, 0 DUNN-MARTIN T. Assist
Q1|0:40|10 JESSUP J. 3PtsFG missed|||25 BANK L. Defensive rebound
Q1|0:40||||Alternating Possession Gained
Q1|0:30||||0 DUNN-MARTIN T. 3PtsFG missed
Q1|0:28|Defensive Team rebound|||
Q1|0:06|10 JESSUP J. Turnover, Bad pass|||1 OSOBOR G. Steal
Q1|0:03|10 JESSUP J. Personal foul (P1,T2)|||
Q1|0:03||||1 OSOBOR G. Foul drawn
Q1|0:03||||5 CARTER C. Substitute out, 33 WASHINGTON E. Substitute in.
Q1|0:01||||13 BRAXTON JR K. 3PtsFG missed
Q2|10:00|Starters: 1 DA SILVA O., 4 RATHAN-MAYES X., 5 GIFFEY N., 10 JESSUP J., 16 JOVIC S.|-|-|Starters: 0 DUNN-MARTIN T., 13 BRAXTON JR K., 15 BOHANNON N., 25 BANK L., 33 WASHINGTON E.
Q2|10:00|Alternating Possession Gained|||
Q2|9:43||||33 WASHINGTON E. Personal foul (P1,T1)
Q2|9:43|4 RATHAN-MAYES X. Foul drawn|||
