Quarter|Time|Home Action|Score|Diff|Away Action
Q1|10:00|Starters: 10 BROWN T, 12 KUHSE T, 14 HERKENHOFF P, 23 DANDRIDGE M, 11 VERGE JR. A.|||Starters: 00 WEATHERS M, 0 HORNE D, 6 FLOWERS M, 15 KEBEN M, 20 WEATHERS M.
Q1|10:00|23 DANDRIDGE M. Jump ball lost|||15 KEBEN M. Jump ball won
Q1|09:56||0-2|-2|20 WEATHERS M. 2PtsFG inside paint, Dunk made, 00 WEATHERS M. Assist
Q1|09:33|23 DANDRIDGE M. Turnover, Bad pass|||0 HORNE D. Steal
Q1|09:27||0-4|-4|15 KEBEN M. 2Pts FG fast break, Lay-up made, 0 HORNE D. Assist
Q1|09:20|12 KUHSE T. 3Pts FG missed, 10 BROWN T. Offensive rebound|||
Q1|09:15|12 KUHSE T. 3Pts FG made, 11 VERGE JR. A. Assist|3-4|-1|
Q1|08:59|14 HERKENHOFF P. Personal foul (P1, T1)|||WEATHERS M. Foul drawn
Q1|08:57|11 VERGE JR. A. Defensive rebound|||WEATHERS M. 2PtsFG inside paint, Lay-up missed
Q1|08:50|14 HERKENHOFF P. 3PtsFG made, 11 VERGE JR. A. Assist|6-4|+2|
Q1|08:29|23 DANDRIDGE M. Personal foul, 2 free throws awarded (P1,T2)|||20 WEATHERS M. Foul drawn
Q1|08:29||6-5|+1|20 WEATHERS M. Free Throw made 1 of 2
Q1|08:29||6-6|0|20 WEATHERS M. Free Throw made 2 of 2
Q1|08:15|23 DANDRIDGE M. 2Pts FG inside paint, Lay-up missed|||15 KEBEN M. Defensive rebound
Q1|08:07||||20 WEATHERS M. 2PtsFG Inside paint, Lay-up missed, 20 WEATHERS M. Offensive rebound
Q1|08:01||6-9|-3|0 HORNE D. 3PtsFG made, 20 WEATHERS M. Assist
Q1|07:48|10 BROWN T. 3PtsFG missed|||00 WEATHERS M. Defensive rebound
Q1|07:39|14 HERKENHOFF P. Defensive rebound|||6 FLOWERS M. 3Pts FG missed
Q1|07:23|11 VERGE JR. A. 2PtsFG inside paint, Lay-up made|8-9|-1|
Q1|07:05|23 DANDRIDGE M. Defensive rebound|||0 HORNE D. 2PtsFG inside paint, Lay-up missed
Q1|06:56|12 KUHSE T. 2PtsFG inside paint, Lay-up missed|||
Q1|06:55|Offensive Team rebound|||
Q1|06:48|10 BROWN T. Turnover, Bad pass|||
Q1|06:48|23 DANDRIDGE M. Substitute out, 21 THIEMANN L. Substitute in|||
Q1|06:26||||0 HORNE D. Turnover, Out of bounds
Q1|06:04|10 BROWN T. 3PtsFG missed|||Defensive Team rebound
Q1|06:04|14 HERKENHOFF P. Personal foul (P2,T3)|||
Q1|06:04||||15 KEBEN M. Foul drawn
Q1|06:03|11 VERGE JR. A. Substitute out, 6 VAN SLOOTEN L. Substitute in|||
Q1|06:03|14 HERKENHOFF P. Substitute out, 41 PANDI L. Substitute in|||
Q1|06:03||||6 FLOWERS M. Substitute out, 10 WILLIAMSON S. Substitute in
Q1|06:03||||15 KEBEN M. Substitute out, 12 OSUNNIYI O. Substitute in
Q1|05:47||||WEATHERS M. 2Pts FG inside paint, Lay-up missed
